Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase/Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase/Sales
29-10-2010,3350.23,2614.83,735.4,1595.76,1251.36,344.4
01-11-2010,5973.59,2932.03,3041.56,1674.68,1352.22,322.46
02-11-2010,1765.98,1554.08,211.9,791.23,730.41,60.82
03-11-2010,2235.07,1930.2,304.87,1059.87,1262.57,-202.7
05-11-2010,2452.8,2432.61,20.19,988.14,965.65,22.49
06-11-2010,3288.77,2467.89,820.88,1212.17,1425.93,-213.76
08-11-2010,2722.7,2808.51,-85.81,1784.22,1760.72,23.5
10-11-2010,3298.46,2488.16,810.3,1161.86,1736.67,-574.81
11-11-2010,3042.74,3103.16,-60.42,1071.58,1341.27,-269.69
15-11-2010,2586.46,2272.78,313.68,1189.35,1192.74,-3.39
16-11-2010,3157.02,3353.71,-196.69,1542.54,1092.95,449.59
18-11-2010,4062.11,4514.82,-452.71,1664.85,1546.42,118.43
19-11-2010,3926.43,3558.52,367.91,1697.72,1397.53,300.19
22-11-2010,2906.16,2570.36,335.8,1373,1160.88,212.12
23-11-2010,2868.01,4361.2,-1493.19,2255.28,752.31,1502.97
24-11-2010,3173.82,3647.13,-473.31,1311.23,1406.17,-94.94
25-11-2010,6385.61,7593.73,-1208.12,2574.62,2376.85,197.77
26-11-2010,4332.25,4961.02,-628.77,2870.67,1911.26,959.41
29-11-2010,3327.76,3171.56,156.2,1473.24,1273.91,199.33
30-11-2010,6499.13,5609.67,889.46,1507.32,1942.35,-435.03
01-12-2010,2903.43,3266.19,-362.76,1920.05,1465.19,454.86
03-12-2010,2651.76,2280.08,371.68,1324.08,1414.89,-90.81
04-12-2010,2433.13,2418.72,14.41,881.84,1074.48,-192.64
05-12-2010,2068.49,2365.72,-297.23,1191.03,1010.61,180.42
07-12-2010,3246.86,2245.11,1001.75,1152.76,1445.81,-293.05
08-12-2010,3212.88,2994.69,218.19,1403.35,2059.4,-656.05
10-12-2010,2913.81,2458.08,455.73,1106.8,1561.32,-454.52
11-12-2010,3134.74,3917.01,-782.27,1439.13,1193.45,245.68
13-12-2010,2410.64,2698.41,-287.77,1176.27,841.73,334.54
14-12-2010,2512.96,2479.43,33.53,1072.9,723.73,349.17
15-12-2010,3089.5,3177.11,-87.61,1303.22,1401.02,-97.8
16-12-2010,3083.85,3400.64,-316.79,1518.41,1422.38,96.03
20-12-2010,2973.75,3083.28,-109.53,1161.9,1022.45,139.45
21-12-2010,2850.75,2885.54,-34.79,1631.12,1257.45,373.67
22-12-2010,2375.65,2443.22,-67.57,1252.32,1153.39,98.93
23-12-2010,1490.3,1633.4,-143.1,893.35,981.98,-88.63
24-12-2010,1221.23,1206.41,14.82,651.84,948.4,-296.56
27-12-2010,1024,777.69,246.31,622.94,736.83,-113.89
28-12-2010,1328.12,1219.09,109.03,716.35,981.71,-265.36
29-12-2010,1768.8,1221.22,547.58,803.82,974.16,-170.34
30-12-2010,4665.76,2479.32,2186.44,1035.98,1884.27,-848.29
31-12-2010,1894.47,1363.14,531.33,1274.97,1396.74,-121.77
02-01-2011,2853.09,3889.89,-1036.8,1779.34,1148.94,630.4
04-01-2011,2846.21,2430.93,415.28,675.95,1088.58,-412.63
06-01-2011,2322.81,1877.59,445.22,644.8,786.76,-141.96
07-01-2011,2603.52,2003.86,599.66,1044.68,1499.99,-455.31
08-01-2011,1860.6,1773.77,86.83,956.14,1051.4,-95.26
11-01-2011,1914.74,1935.4,-20.66,666.56,1239.97,-573.41
12-01-2011,2422.63,1735.37,687.26,907.86,1620.94,-713.08
13-01-2011,3370.21,3619.98,-249.77,1405.47,1163.05,242.42
14-01-2011,2020.72,2769.32,-748.6,1381.9,1091.79,290.11
17-01-2011,2569.5,2742.5,-173,1067.54,707.72,359.82
18-01-2011,2699.71,2627.17,72.54,1149.84,1176.04,-26.2
19-01-2011,3167.71,3438.09,-270.38,1540.76,1052.23,488.53
20-01-2011,2723.52,3667.43,-943.91,1432.83,1176.51,256.32
21-01-2011,2461.85,2829.85,-368,1061.92,838.78,223.14
24-01-2011,2558.12,2494.17,63.95,1474.93,1238.42,236.51
25-01-2011,3153.89,2880.9,272.99,1134.09,1303.77,-169.68
27-01-2011,4176.53,5827.94,-1651.41,1325.11,1580.7,-255.59
28-01-2011,3481.28,4188.12,-706.84,1769.19,1687.95,81.24
31-01-2011,2599.84,3520.22,-920.38,2064.48,1056.34,1008.14
02-02-2011,3112.79,3194.52,-81.73,1958.92,1278.54,680.38
05-02-2011,1865.78,2126.81,-261.03,901.12,1051.64,-150.52
06-02-2011,1748.22,1763.01,-14.79,897.38,1027.98,-130.6
08-02-2011,1853.67,2055.35,-201.68,1231.41,1091.53,139.88
09-02-2011,4704.39,3546.01,1158.38,906.05,1252.33,-346.28
11-02-2011,1469.28,1477.06,-7.78,736.5,744.29,-7.79
12-02-2011,2588.37,1991.48,596.89,838.13,945.66,-107.53
14-02-2011,3133.11,2985.47,147.64,989.01,879.99,109.02
15-02-2011,2605.97,2372.92,233.05,881.3,1049.15,-167.85
16-02-2011,1960.55,2190.61,-230.06,578.83,647.32,-68.49
17-02-2011,2305.25,2267.26,37.99,1153.73,909.33,244.4
18-02-2011,2844.58,2636.91,207.67,1266.67,1455.81,-189.14
21-02-2011,2006.78,2252.2,-245.42,800.36,827.97,-27.61
22-02-2011,2527.5,2913.76,-386.26,1139.68,725.69,413.99
23-02-2011,2862.37,3416.97,-554.6,1086.38,733.56,352.82
24-02-2011,3663.59,6365.81,-2702.22,2652.35,1622.43,1029.92
25-02-2011,2856.3,3417.76,-561.46,1345.28,789.99,555.29
28-02-2011,3789.23,3829.09,-39.86,1860.24,1542.86,317.38
01-03-2011,1516.59,1175.62,340.97,1044.56,1168.57,-124.01
02-03-2011,2602.43,2063.72,538.71,1155.2,1200.65,-45.45
03-03-2011,3470.97,3241.95,229.02,1157.54,1062.02,95.52
05-03-2011,2624.11,3802.77,-1178.66,1812.46,1205.63,606.83
06-03-2011,1959.78,1514.52,445.26,488.37,843.88,-355.51
08-03-2011,1914.73,2784.42,-869.69,1464.19,1041.71,422.48
10-03-2011,1633.82,2459.71,-825.89,1112.85,817.51,295.34
11-03-2011,1884.03,1868.58,15.45,973.06,971.15,1.91
14-03-2011,1917.03,1502.68,414.35,778.05,770.4,7.65
15-03-2011,2520.63,2372.35,148.28,1247.79,680.69,567.1
16-03-2011,2233.78,2368.3,-134.52,1153.03,826.31,326.72
17-03-2011,1546.32,2674.93,-1128.61,1044.93,612.86,432.07
18-03-2011,2029.96,2553.47,-523.51,1142.2,845.9,296.3
21-03-2011,1263.27,1360.29,-97.02,782.26,734.28,47.98
22-03-2011,1533.5,1297.21,236.29,844.44,748.4,96.04
23-03-2011,1930.24,1618.14,312.1,2042.81,931.13,1111.68
24-03-2011,2238.75,1930.93,307.82,1451.34,1073.22,378.12
25-03-2011,3305.51,1859.33,1446.18,1298.97,1612.74,-313.77
28-03-2011,2889.97,1999.95,890.02,1519.73,1806.25,-286.52
29-03-2011,3621.52,2329.98,1291.54,1223.85,1698.02,-474.17
30-03-2011,2802.2,2062.59,739.61,1291.97,1907.31,-615.34
31-03-2011,6997.45,3672.86,3324.59,1640.23,3357.08,-1716.85
01-04-2011,3381.89,2664.13,717.76,1474.07,1965.64,-491.57
02-04-2011,2544.42,2400.38,144.04,1621.58,1384.13,237.45
03-04-2011,2699.81,2114.29,585.52,975.57,1205.35,-229.78
04-04-2011,2563,1958.49,604.51,744.63,1133.96,-389.33
05-04-2011,2137.74,3129.88,-992.14,1775.52,861.42,914.1
07-04-2011,2820.06,1688.34,1131.72,982.13,1351.45,-369.32
08-04-2011,2399.2,2653.75,-254.55,1177.3,860.8,316.5
10-04-2011,2062.41,3033.85,-971.44,1578.45,1022.64,555.81
11-04-2011,2256.56,2127.94,128.62,938.47,867.98,70.49
13-04-2011,3309.08,3283.48,25.6,1230.1,1234.9,-4.8
15-04-2011,3135.81,3389.24,-253.43,1373.07,1733.95,-360.88
18-04-2011,2528.2,3509.76,-981.56,1395.14,733.67,661.47
19-04-2011,3683.65,1990.46,1693.19,959.69,751.36,208.33
20-04-2011,2473.17,2280.17,193,993.17,1016.45,-23.28
21-04-2011,2799.78,2491.99,307.79,1076.57,1346.19,-269.62
25-04-2011,1560.16,1937.75,-377.59,1082.1,845.48,236.62
26-04-2011,2334.31,2888.34,-554.03,1106.75,944.94,161.81
27-04-2011,2153.06,2864.92,-711.86,1553.4,1254.12,299.28
28-04-2011,4257.02,5089.61,-832.59,1868.83,1336.23,532.6
29-04-2011,3023.81,3713.7,-689.89,1230.42,1291.48,-61.06
01-05-2011,3245.55,3485.85,-240.3,1349.98,1451.73,-101.75
04-05-2011,2204.31,1481.02,723.29,765.69,1294.67,-528.98
05-05-2011,2005.09,2784.57,-779.48,1826.36,889.13,937.23
07-05-2011,2666.56,1841.04,825.52,984.37,1882.86,-898.49
08-05-2011,2178.86,3967.82,-1788.96,2911.09,1538.6,1372.49
09-05-2011,2971.1,2837.88,133.22,1110.29,963.06,147.23
10-05-2011,2025.78,3034.65,-1008.87,1153.21,830.81,322.4
12-05-2011,1506.92,1360.19,146.73,650.91,613.24,37.67
13-05-2011,2315.61,2476.96,-161.35,870.44,881.97,-11.53
16-05-2011,1854.03,1806.96,47.07,752.71,749.3,3.41
17-05-2011,1968.92,2456.12,-487.2,814.27,1384.56,-570.29
18-05-2011,2451.46,2830.9,-379.44,1115.97,1088.51,27.46
19-05-2011,2113.76,2151.17,-37.41,1127.33,994.99,132.34
20-05-2011,2255.82,2437.37,-181.55,1406.18,1007.99,398.19
23-05-2011,1959.21,2252.77,-293.56,1070,875.78,194.22
24-05-2011,2539.94,2351.78,188.16,778.17,745.22,32.95
25-05-2011,2614.34,2985.13,-370.79,946.27,766.86,179.41
26-05-2011,3743.64,3619.26,124.38,1696.01,1462.48,233.53
27-05-2011,2719.76,2497.73,222.03,1076.64,688.39,388.25
30-05-2011,2431.25,2177.77,253.48,740.25,790.64,-50.39
31-05-2011,6271.32,4960.34,1310.98,1170.34,1767,-596.66
01-06-2011,3274.86,3660.49,-385.63,1240.16,1578.21,-338.05
04-06-2011,2856.44,2327.97,528.47,1118.81,1649.86,-531.05
05-06-2011,2579.11,3234.45,-655.34,2065.76,1047.72,1018.04
06-06-2011,1589.1,1790.88,-201.78,720.73,535.74,184.99
07-06-2011,2076.04,1855.59,220.45,991.95,1072.18,-80.23
09-06-2011,3629.92,3198.44,431.48,862.48,1277.65,-415.17
13-06-2011,1543.66,1847.83,-304.17,917.1,889.76,27.34
14-06-2011,3085.03,3883.56,-798.53,1700.97,1090.25,610.72
15-06-2011,2461.5,2632.06,-170.56,1009.26,868.12,141.14
16-06-2011,2191.29,2790.81,-599.52,1308.28,1022.18,286.1
17-06-2011,2111.19,2501.75,-390.56,851.51,886.88,-35.37
20-06-2011,2577.97,3090.54,-512.57,1545.17,681.86,863.31
21-06-2011,1699.74,2263.1,-563.36,1143.76,713.35,430.41
22-06-2011,1842.76,2130.16,-287.4,824.99,667.62,157.37
23-06-2011,1902.96,1673.75,229.21,866.12,624.17,241.95
24-06-2011,3682.65,2792.21,890.44,1064.62,1551.47,-486.85
27-06-2011,3754,2306.58,1447.42,933.65,1700.03,-766.38
28-06-2011,2774.22,1954.81,819.41,999.42,1574.48,-575.06
29-06-2011,3099.16,2429.81,669.35,1290.67,1531.26,-240.59
30-06-2011,5361.85,3770.51,1591.34,1180.97,1954.35,-773.38
01-07-2011,2397.19,3437.93,-1040.74,2179.56,1063.73,1115.83
02-07-2011,2544.42,2400.38,144.04,1621.58,1384.13,237.45
03-07-2011,1845.81,1938.05,-92.24,697.02,651.45,45.57
04-07-2011,2675.95,2455.36,220.59,881.68,1093.84,-212.16
06-07-2011,2012.41,1899.71,112.7,692.19,660.9,31.29
07-07-2011,3034.33,2165.62,868.71,1420.57,1581.6,-161.03
09-07-2011,3049.63,2787.2,262.43,1224.7,1305.51,-80.81
10-07-2011,3567.05,3075.5,491.55,1211.01,1191.6,19.41
12-07-2011,2789.71,2654.35,135.36,911.3,1101.41,-190.11
13-07-2011,2387.52,2071.57,315.95,963.38,1332.29,-368.91
14-07-2011,2339.99,2128.53,211.46,1591.7,1073.88,517.82
15-07-2011,1647.52,1574.49,73.03,687.05,726.19,-39.14
18-07-2011,1965.73,2058.74,-93.01,797.83,634.21,163.62
19-07-2011,1922.8,1629.51,293.29,802.67,1029.59,-226.92
20-07-2011,1876.93,1967.37,-90.44,1198.73,1178.25,20.48
21-07-2011,1627.54,2205.18,-577.64,1223.92,815.56,408.36
22-07-2011,2718.66,2273.75,444.91,1329.71,1086.66,243.05
25-07-2011,2608.84,2293.12,315.72,1511.75,1287.5,224.25
26-07-2011,2479.17,2656.92,-177.75,1387.82,1356.33,31.49
27-07-2011,2818.42,2831.35,-12.93,1309.12,1309.31,-0.19
28-07-2011,4126.11,4061.45,64.66,1878.11,1468.77,409.34
29-07-2011,2771.53,3235.56,-464.03,1564.71,1152.89,411.82
02-08-2011,2966.06,3692.6,-726.54,1318.56,869.59,448.97
03-08-2011,2220.06,1982.99,237.07,728.41,868.87,-140.46
04-08-2011,2688.69,2303.84,384.85,982.97,1111.37,-128.4
06-08-2011,1883.45,1833.02,50.43,692.01,606.54,85.47
07-08-2011,3034.33,2165.62,868.71,1420.57,1581.6,-161.03
08-08-2011,1642.22,3028,-1385.78,2620.3,1299.92,1320.38
09-08-2011,2228.54,2214.36,14.18,853.19,1119.8,-266.61
11-08-2011,1696.02,1239.74,456.28,369.26,746.73,-377.47
12-08-2011,2164.69,2138.97,25.72,845.47,1042.98,-197.51
16-08-2011,2526.33,2787.45,-261.12,908.76,657.09,251.67
17-08-2011,2262.74,2670.42,-407.68,1061.56,892.14,169.42
18-08-2011,2388.42,2877.09,-488.67,1291.78,961.36,330.42
19-08-2011,2816.01,3718.62,-902.61,1653.42,1230.17,423.25
22-08-2011,1489.25,2275.57,-786.32,1024.4,881.06,143.34
23-08-2011,2577.78,2678.12,-100.34,928.39,625.5,302.89
24-08-2011,1853.82,2737.3,-883.48,1161.68,600.58,561.1
25-08-2011,3102.79,4543.34,-1440.55,1271.59,886.58,385.01
26-08-2011,2145.7,2371.95,-226.25,1169.39,776.49,392.9
29-08-2011,2211.38,1845.19,366.19,823.88,1149.38,-325.5
30-08-2011,2965.58,2344.68,620.9,1283.68,1181.77,101.91
02-09-2011,3680.57,4289.57,-609,1385.4,1270.4,115
03-09-2011,1853.04,1721.87,131.17,1022.75,909.76,112.99
05-09-2011,1935.01,1738.59,196.42,500.92,626.7,-125.78
06-09-2011,1842.66,1867.39,-24.73,564.46,555.49,8.97
08-09-2011,2410.06,4514.62,-2104.56,3009.88,1596.92,1412.96
09-09-2011,2355.77,2783.44,-427.67,1125.2,1040.13,85.07
11-09-2011,2280.59,1721.55,559.04,811.92,1343.78,-531.86
12-09-2011,1771.67,2020.24,-248.57,985.02,869.81,115.21
13-09-2011,1281.69,1750.1,-468.41,877.27,756.08,121.19
14-09-2011,2101.11,2146.93,-45.82,788.79,971.47,-182.68
15-09-2011,1978.63,1842.08,136.55,795.5,791.1,4.4
16-09-2011,3675.29,3280.13,395.16,1165.58,1126.25,39.33
19-09-2011,1475.52,1641.73,-166.21,530.65,568.15,-37.5
20-09-2011,2118.13,1799.29,318.84,748.52,1066.21,-317.69
21-09-2011,2009.89,1766.44,243.45,866.17,881.65,-15.48
22-09-2011,1364.68,2670.23,-1305.55,1421.47,678,743.47
23-09-2011,1640.68,2920.29,-1279.61,1480.67,715.29,765.38
26-09-2011,1240.6,2324.43,-1083.83,1165.51,590.3,575.21
27-09-2011,2132.8,2098.72,34.08,960.76,690.71,270.05
28-09-2011,2705.14,2520.17,184.97,907.32,791.73,115.59
29-09-2011,3539.32,3769.62,-230.3,1058.77,1461.65,-402.88
30-09-2011,2498.17,2957.64,-459.47,1240.39,723.05,517.34
01-10-2011,2633.69,3772.47,-1138.78,1729.36,710.82,1018.54
02-10-2011,3032.29,3987.16,-954.87,1660.73,1023.43,637.3
03-10-2011,1642.86,1740.05,-97.19,743.14,634.16,108.98
05-10-2011,1451.06,1426.04,25.02,768.09,637.23,130.86
06-10-2011,2026.81,2196.86,-170.05,839.45,502.47,336.98
10-10-2011,2439.48,2227.77,211.71,1133.52,1170.65,-37.13
13-10-2011,2529.14,1859.06,670.08,902.87,1160.23,-257.36
14-10-2011,1921.6,2015.64,-94.04,894.46,1132.31,-237.85
17-10-2011,2653.35,2058.34,595.01,1287.4,1393.95,-106.55
18-10-2011,1821.6,2106.79,-285.19,830.19,963.08,-132.89
19-10-2011,1768.89,1783.34,-14.45,763.47,857.93,-94.46
20-10-2011,1468.86,1940.86,-472,719.91,845.18,-125.27
21-10-2011,1364.41,1598.42,-234.01,822.86,749.5,73.36
24-10-2011,1739.51,1638.41,101.1,693.32,852.16,-158.84
25-10-2011,3678.07,3233.31,444.76,1341.45,2220.91,-879.46
28-10-2011,5496.62,3330.41,2166.21,1200.25,2278.66,-1078.41
31-10-2011,2587.45,2228.67,358.78,945.29,1221.65,-276.36
01-11-2011,2726.62,3889.19,-1162.57,1854.65,790.47,1064.18
02-11-2011,3206.61,3744.32,-537.71,1343.41,823.74,519.67
03-11-2011,1629.34,1872.92,-243.58,1186.2,1073.96,112.24
04-11-2011,1997.6,2688.82,-691.22,957.47,693.66,263.81
05-11-2011,2362.44,2237.37,125.07,827.85,738.73,89.12
07-11-2011,1889.74,1456.79,432.95,736.35,662.71,73.64
08-11-2011,2416.12,2475.91,-59.79,1179.49,913.24,266.25
10-11-2011,2821.63,2707.48,114.15,1338.5,1230.33,108.17
11-11-2011,3049.99,3133.25,-83.26,1045.76,1158.94,-113.18
14-11-2011,2542.99,2221.37,321.62,862.44,871.74,-9.3
15-11-2011,1698.84,2108.61,-409.77,2108.61,783.26,1325.35
16-11-2011,1743.78,2232.67,-488.89,1374.11,1096.32,277.79
17-11-2011,1943.27,2138.47,-195.2,1149.83,778.24,371.59
18-11-2011,1796.37,2667.99,-871.62,1375.06,994.67,380.39
21-11-2011,1886.49,2629.51,-743.02,1351.35,755.8,595.55
22-11-2011,1764.71,2717.39,-952.68,1814.54,749.03,1065.51
23-11-2011,1776.24,2962.66,-1186.42,1794.71,868.55,926.16
24-11-2011,2072.95,3709.03,-1636.08,1908.66,860.91,1047.75
25-11-2011,1410.6,2215.6,-805,1763.47,726.92,1036.55
28-11-2011,1723.62,2026.21,-302.59,1075.94,768.64,307.3
29-11-2011,1937.89,2258.76,-320.87,1172.69,811.46,361.23
30-11-2011,6245.15,6211.03,34.12,1942.65,2136.47,-193.82
01-12-2011,3366.8,3738.3,-371.5,1495.93,1136.72,359.21
05-12-2011,1578.06,1998.09,-420.03,1048.02,735.58,312.44
07-12-2011,1386.95,2356.39,-969.44,1326.18,1039.41,286.77
08-12-2011,2380.52,2851.61,-471.09,1302.32,1203.3,99.02
09-12-2011,1582.64,2517.38,-934.74,1150.9,722.97,427.93
10-12-2011,2653.35,2058.34,595.01,1287.4,1393.95,-106.55
12-12-2011,1522.08,1950.38,-428.3,1116.61,950.32,166.29
13-12-2011,1597.52,2158.32,-560.8,1251.49,769.56,481.93
14-12-2011,2246.43,2386.56,-140.13,1022.94,573.35,449.59
15-12-2011,2991.84,3315.12,-323.28,986.71,938.62,48.09
16-12-2011,2235.54,2455.79,-220.25,1159.08,823.78,335.3
19-12-2011,2259.17,2709.54,-450.37,1138.83,1120.23,18.6
20-12-2011,1976.14,2502.4,-526.26,1053.82,867.1,186.72
21-12-2011,2208.25,2352.48,-144.23,1019.65,1152.91,-133.26
22-12-2011,1852.18,2088.57,-236.39,1045.8,816.06,229.74
23-12-2011,1281.1,1196.83,84.27,651.02,729.57,-78.55
26-12-2011,547.02,433.59,113.43,435.94,554.92,-118.98
27-12-2011,1038.06,823.75,214.31,497.22,592.51,-95.29
28-12-2011,1238.81,1157.37,81.44,532.14,628.63,-96.49
29-12-2011,1504.5,2520.32,-1015.82,996.86,673.79,323.07
30-12-2011,969.1,1147.25,-178.15,853.68,587.08,266.6
02-01-2012,4997.28,3320.79,1676.49,1734.93,1767.22,-32.29
03-01-2012,2133.21,2259.73,-126.52,998.54,1008.51,-9.97
06-01-2012,1791.48,2011.86,-220.38,865.54,660.04,205.5
08-01-2012,2014.83,1573.38,441.45,813.64,986.61,-172.97
10-01-2012,2104.6,1897.09,207.51,866.81,1341.01,-474.2
13-01-2012,2508.07,2214.56,293.51,1198.43,1375.69,-177.26
16-01-2012,1980.81,1623.13,357.68,649.83,879.38,-229.55
17-01-2012,2963.72,1937.97,1025.75,1292.91,1722.14,-429.23
18-01-2012,3008.08,2132.23,875.85,884.51,1474.78,-590.27
19-01-2012,2796.26,2170.12,626.14,1087.26,1333.85,-246.59
20-01-2012,3509.75,2689.91,819.84,1221.68,1836.47,-614.79
23-01-2012,1579.16,1637.96,-58.8,873.05,1311.53,-438.48
24-01-2012,3011.11,2209.82,801.29,1391.98,1654.63,-262.65
25-01-2012,3920.65,2773.64,1147.01,1162.31,1874.31,-712
27-01-2012,4093.99,2853.83,1240.16,1036.66,1745.12,-708.46
30-01-2012,2575.35,2777.06,-201.71,772.39,1306.08,-533.69
31-01-2012,3460.78,2836.68,624.1,1299.94,1541.2,-241.26
01-02-2012,458.53,552.4,-93.87,579.04,494.7,84.34
02-02-2012,5157.5,3216.27,1941.23,1488.05,2141.19,-653.14
03-02-2012,2395,1816.35,578.65,994.28,1064.76,-70.48
04-02-2012,1861.47,1615.53,245.94,770.91,843.72,-72.81
05-02-2012,2241.7,2004.23,237.47,939.25,868.13,71.12
07-02-2012,2104.11,1513.05,591.06,783.2,1230.69,-447.49
08-02-2012,1653.63,1513.5,140.13,838.34,904.82,-66.48
13-02-2012,2600.01,2130.24,469.77,832.72,1430.03,-597.31
14-02-2012,2955.58,1925.46,1030.12,1109.31,1517.95,-408.64
16-02-2012,3251.56,3067.25,184.31,1383.42,1773.74,-390.32
17-02-2012,4126.95,3590.46,536.49,2419.64,2642.71,-223.07
21-02-2012,4091.84,2691.67,1400.17,1233.78,2477.93,-1244.15
22-02-2012,4033.4,3203.77,829.63,1215.07,2547.97,-1332.9
23-02-2012,4069.92,3965.37,104.55,1453.7,2094.63,-640.93
24-02-2012,11138.59,2183.29,8955.3,1055.99,1892.7,-836.71
27-02-2012,2957.94,2628.85,329.09,1206.72,1905.86,-699.14
28-02-2012,2937.55,2209.96,727.59,1283.87,1871.08,-587.21
29-02-2012,3666.24,3086.61,579.63,1113.77,1544.84,-431.07
01-03-2012,1356.89,1101.5,255.39,988.27,781.76,206.51
02-03-2012,3193.37,2119.16,1074.21,1016.04,1931.62,-915.58
04-03-2012,1995.03,1662.56,332.47,1096.77,896.49,200.28
05-03-2012,2361.49,2287.75,73.74,791.09,1138.09,-347
07-03-2012,2233.64,1643.93,589.71,715.98,1259.95,-543.97
08-03-2012,1508.84,1300.15,208.69,804.26,1238.91,-434.65
09-03-2012,1669.48,1724.27,-54.79,682.27,842.97,-160.7
10-03-2012,3626.4,3024.01,602.39,1048.51,1716.65,-668.14
12-03-2012,1955.34,1652,303.34,1087.32,1423.26,-335.94
13-03-2012,2758.88,1886.2,872.68,943.46,1377.2,-433.74
14-03-2012,3813.19,2153.91,1659.28,1285.06,2142.17,-857.11
15-03-2012,2375.95,2219.93,156.02,809.83,1199,-389.17
16-03-2012,3490.69,2607.11,883.58,1201.53,1971.92,-770.39
19-03-2012,2387.61,2226.74,160.87,1111.51,1407.49,-295.98
20-03-2012,2110.5,1999.41,111.09,994.5,1114.85,-120.35
21-03-2012,3488.6,2865.96,622.64,956.01,1249.71,-293.7
22-03-2012,2643.39,2396.83,246.56,1118.38,1251.51,-133.13
23-03-2012,2310.91,2301.45,9.46,689.22,502.41,186.81
26-03-2012,3998.36,4133.65,-135.29,775.03,975.97,-200.94
27-03-2012,3009.32,2966.33,42.99,1039.42,1329.47,-290.05
28-03-2012,2863.56,3011.62,-148.06,895.94,822.91,73.03
29-03-2012,3954.15,5287,-1332.85,1408,1108.33,299.67
30-03-2012,5112.7,4150.05,962.65,1096.07,1263.39,-167.32
01-04-2012,1836.86,1697.89,138.97,856.02,939.43,-83.41
04-04-2012,1330.46,1284.64,45.82,839.54,712.84,126.7
05-04-2012,3419.72,2991.8,427.92,1118.42,1398.53,-280.11
06-04-2012,1492.85,2129.99,-637.14,1102.98,656.75,446.23
07-04-2012,2135.3,1896.11,239.19,1185.24,1347.01,-161.77
09-04-2012,1634.31,1329.9,304.41,702.67,808.27,-105.6
10-04-2012,3245.74,2301.21,944.53,1327.64,2146.2,-818.56
12-04-2012,2371.34,1831.39,539.95,1062.21,1496.31,-434.1
13-04-2012,2634.23,2496.98,137.25,1329.61,1809.29,-479.68
16-04-2012,1341.24,1850.67,-509.43,932.45,714.22,218.23
17-04-2012,2403.64,1962.49,441.15,964.09,1177.3,-213.21
18-04-2012,2478,2256.37,221.63,988.09,950.21,37.88
19-04-2012,1866.75,1969.21,-102.46,936.84,835.84,101
20-04-2012,1729.83,1415.79,314.04,1059.95,925.21,134.74
23-04-2012,1351.7,1759.19,-407.49,1206.48,754.78,451.7
24-04-2012,2158.43,3019.21,-860.78,1462.54,1043.46,419.08
25-04-2012,2176.64,2517.48,-340.84,911.18,870.48,40.7
26-04-2012,3356.74,3732.82,-376.08,1491.42,1427.93,63.49
27-04-2012,2078.31,2454.53,-376.22,967.17,824.61,142.56
30-04-2012,2100.62,1621.09,479.53,668.05,914.86,-246.81
01-05-2012,2247.61,1866.19,381.42,795.65,1084.86,-289.21
03-05-2012,1867.04,1741.54,125.5,827.42,1085.75,-258.33
06-05-2012,1193.74,1874.6,-680.86,1400.18,605.53,794.65
07-05-2012,2659.08,2229.86,429.22,995.17,1198.2,-203.03
09-05-2012,2135.61,2324.26,-188.65,910.44,1076.72,-166.28
10-05-2012,6806.29,2454.3,4351.99,1439.55,1628.65,-189.1
11-05-2012,1363.47,989.54,373.93,577.07,921.49,-344.42
12-05-2012,2819.35,1940.78,878.57,1158.06,1797.84,-639.78
14-05-2012,2080.58,1725.48,355.1,850.14,995.19,-145.05
15-05-2012,1824.1,2008.38,-184.28,924.29,1007.14,-82.85
16-05-2012,2239.47,2786.32,-546.85,1415.78,1243.95,171.83
17-05-2012,2289.29,2298.96,-9.67,955.33,701.18,254.15
18-05-2012,1672.69,1921.62,-248.93,1021.59,872.65,148.94
21-05-2012,1334.72,1414.31,-79.59,662.44,513.24,149.2
22-05-2012,1611.91,1895.25,-283.34,927.65,720.05,207.6
23-05-2012,1534.16,1895.23,-361.07,780.79,612.3,168.49
24-05-2012,1633.59,1739.32,-105.73,732.16,602.14,130.02
25-05-2012,1001.53,1625.29,-623.76,927.63,492.98,434.65
28-05-2012,1233.83,1124.95,108.88,664.38,496.68,167.7
29-05-2012,1539.21,1448.71,90.5,727.89,927.29,-199.4
30-05-2012,2192.44,2203.18,-10.74,558.13,740.74,-182.61
31-05-2012,6379.64,7045.4,-665.76,1323.22,1589.6,-266.38
01-06-2012,1852.48,1842.04,10.44,618.95,817.83,-198.88
02-06-2012,3512.46,2514.52,997.94,1378.21,1561.33,-183.12
03-06-2012,2629.95,2871.17,-241.22,1238.12,1058.21,179.91
06-06-2012,3310.26,3041.05,269.21,1411.75,922.61,489.14
07-06-2012,1915.84,1344.07,571.77,859.8,1083.27,-223.47
08-06-2012,1738.14,1182.41,555.73,876.85,881.08,-4.23
09-06-2012,1845.81,1679.23,166.58,887.06,920.82,-33.76
12-06-2012,2855.57,2017.43,838.14,1029.28,1692.02,-662.74
13-06-2012,1868.63,1650.95,217.68,918.99,842.12,76.87
14-06-2012,1254.35,1149.27,105.08,655.4,938.23,-282.83
